import time: self [us] | cumulative | imported package
import time:       390 |        390 |               kubernetes.client.models.v1_device
import time:       327 |        327 |               kubernetes.client.models.v1_device_allocation_configuration
import time:       201 |        201 |               kubernetes.client.models.v1_device_allocation_result
import time:       348 |        348 |               kubernetes.client.models.v1_device_attribute
import time:       247 |        247 |               kubernetes.client.models.v1_device_capacity
import time:       226 |        226 |               kubernetes.client.models.v1_device_claim
import time:       308 |        308 |               kubernetes.client.models.v1_device_claim_configuration
import time:       190 |        190 |               kubernetes.client.models.v1_device_class
import time:       285 |        285 |               kubernetes.client.models.v1_device_class_configuration
import time:       294 |        294 |               kubernetes.client.models.v1_device_class_list
import time:       279 |        279 |               kubernetes.client.models.v1_device_class_spec
import time:       415 |        415 |               kubernetes.client.models.v1_device_constraint
import time:       292 |        292 |               kubernetes.client.models.v1_device_counter_consumption
import time:       206 |        206 |               kubernetes.client.models.v1_device_request
import time:       391 |        391 |               kubernetes.client.models.v1_device_request_allocation_result
import time:       289 |        289 |               kubernetes.client.models.v1_device_selector
import time:       262 |        262 |               kubernetes.client.models.v1_device_sub_request
import time:       365 |        365 |               kubernetes.client.models.v1_device_taint
import time:       354 |        354 |               kubernetes.client.models.v1_device_toleration
import time:       332 |        332 |               kubernetes.client.models.v1_downward_api_projection
import time:       203 |        203 |               kubernetes.client.models.v1_downward_api_volume_file
import time:       205 |        205 |               kubernetes.client.models.v1_downward_api_volume_source
import time:       192 |        192 |               kubernetes.client.models.v1_empty_dir_volume_source
import time:       321 |        321 |               kubernetes.client.models.v1_endpoint
import time:       190 |        190 |               kubernetes.client.models.v1_endpoint_address
import time:       201 |        201 |               kubernetes.client.models.v1_endpoint_conditions
import time:       178 |        178 |               kubernetes.client.models.v1_endpoint_hints
import time:       279 |        279 |               kubernetes.client.models.v1_endpoint_slice
import time:       183 |        183 |               kubernetes.client.models.v1_endpoint_slice_list
import time:       186 |        186 |               kubernetes.client.models.v1_endpoint_subset
